,njets,npv,pt_1,eta_1,phi_1,m_1,iso_1,q_1,mt_1,pt_2,eta_2,phi_2,m_2,iso_2,q_2,mt_2,dm_2,jpt_1,jeta_1,jphi_1,jm_1,jbtag_1,jpt_2,jeta_2,jphi_2,jm_2,jbtag_2,pt_met,phi_met,m_vis,pt_vis,mjj,ptjj,jdeta,gen_match,run,weight,sample_name
0,2,28,47.975967,-0.16238397,-2.9866028,0.10565837,0.020848533,1,82.56849092275007,64.30206,0.37671903,-0.97574985,0.13957,0.053487603,-1,72.00836223875352,0,59.46509,0.83417755,1.332055,10.436833,0.014036992,57.327015,0.38215658,-0.9527574,8.817656,0.2550785,37.88454,0.65935373,98.573845,61.710014,111.18946,48.555218,0.45202097,True,1,0.47121727,GluGluToHToTauTauSkim
1,7,32,27.025103,0.6318401,0.59469503,0.10565837,0.11560027,1,35.76267150450308,57.875004,0.7051533,-2.1659026,1.1510648,0.1370868,-1,32.57356510690402,10,62.790127,0.7323507,-2.1416736,10.35041,0.7629174,53.188477,-2.722788,0.45976084,18.328882,-1.0,14.1326475,2.9055378,77.7327,34.293156,335.60056,32.297974,3.4551387,True,1,0.47121727,GluGluToHToTauTauSkim
2,5,32,32.8458,-0.6758256,0.87505114,0.10565837,0.04906229,-1,80.76724756156473,37.00722,0.32643065,-1.8773024,0.13957,0.13710356,1,1.119534203628413,0,49.44751,0.33418554,-1.9168627,6.482176,0.27844864,34.663204,0.8012871,1.5980086,9.339879,0.11439176,51.32873,-1.9029912,77.50522,14.112607,85.23614,21.322296,-0.46710157,True,1,0.47121727,GluGluToHToTauTauSkim
3,0,21,32.728878,0.71521086,0.7574354,0.10565837,0.06256081,-1,78.28466853033768,30.934376,-0.87148535,-2.3786654,0.13957,0.050770607,1,7.7554438576293245,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,47.272797,-2.5818205,84.73774,1.8029902,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4,1,24,24.502415,-0.2061529,1.7467619,0.10565837,0.057096016,1,3.587027377337338,51.0176,-0.36270565,-1.7338597,0.8061046,0.028811801,-1,93.80775436700328,1,55.610813,-0.32379332,-1.7391416,7.155435,0.15069063,-999.0,-999.0,-999.0,-999.0,-999.0,43.693913,1.6370791,69.925606,29.07518,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
5,0,14,68.776184,-1.2430398,2.3594978,0.10565837,0.0,-1,81.19753663610844,29.560806,-1.3601083,-1.6679479,0.7944691,0.043627024,1,19.850692300562297,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.056595,-0.90520245,81.66027,55.06028,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
6,0,18,22.091629,-0.2712037,-2.6744773,0.10565837,0.079316825,-1,18.08702103198592,20.038668,-1.4273989,0.41957548,0.7106484,0.06890738,1,42.45350194352581,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,25.768215,2.8311985,49.307777,2.2836266,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
7,1,19,38.65048,-0.699069,0.36770523,0.10565837,0.019641161,-1,12.157887380498778,69.29308,-1.3018371,3.0990982,0.13957,0.0,1,59.34815054996854,0,79.18236,-1.2873538,3.099892,6.800214,0.12858288,-999.0,-999.0,-999.0,-999.0,-999.0,12.773766,-0.18652995,106.16705,37.193165,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
8,0,6,18.893661,-0.08030473,-0.52284163,0.10565837,0.0,1,1.9270016748790124,27.274275,1.6257265,2.917753,0.78031546,0.06588415,-1,43.08287708289793,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.171309,-0.41580573,62.587048,10.768583,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
9,1,17,27.221422,-1.0471984,0.15185624,0.10565837,0.0,1,3.499013366405305,52.557472,-0.51779985,-2.927865,1.1197419,0.045322567,-1,81.48257128634738,10,46.73927,-0.5206847,-2.922243,5.8787556,0.13769399,-999.0,-999.0,-999.0,-999.0,-999.0,31.841139,0.032936838,78.29366,25.443869,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
