,njets,npv,pt_1,eta_1,phi_1,m_1,iso_1,q_1,mt_1,pt_2,eta_2,phi_2,m_2,iso_2,q_2,mt_2,dm_2,jpt_1,jeta_1,jphi_1,jm_1,jbtag_1,jpt_2,jeta_2,jphi_2,jm_2,jbtag_2,pt_met,phi_met,m_vis,pt_vis,mjj,ptjj,jdeta,gen_match,run,weight,sample_name
0,2,18,26.779453,0.3383689,-2.2952678,0.10565837,0.029786699,-1,2.017489464377626,23.472672,2.0670023,-2.7310672,0.3968249,0.08761366,1,26.15404019457066,1,123.81348,-0.911405,1.0039873,15.453667,0.17093833,59.47184,3.2768645,0.51537764,12.677147,-10.0,134.72122,-2.2616773,50.129505,49.069054,688.40985,178.52246,-4.1882696,True,1,0.036151208,VBF_HToTauTauSkim
1,1,18,51.48727,-0.8916641,2.5974596,0.10565837,0.010313842,-1,8.522760159046618,20.317577,-1.3867346,-1.8445685,0.6796375,0.28913736,1,55.2006826171828,1,108.52453,0.08281916,-0.112418056,13.714886,0.8957618,-999.0,-999.0,-999.0,-999.0,-999.0,66.68724,2.7430365,53.980656,50.04959,-999.0,-999.0,-999.0,True,1,0.036151208,VBF_HToTauTauSkim
2,3,10,36.684063,0.71034086,-0.37892136,0.10565837,0.057828292,-1,9.784172422646456,57.447464,1.0375661,2.1889322,0.9055595,0.0,1,107.33026806074399,10,67.84845,1.0502498,2.198407,8.426794,0.1310977,54.06872,1.9361185,-1.1767122,7.872929,0.7953543,51.685936,-0.60409474,89.351456,33.256664,133.56606,19.723904,-0.88586867,True,1,0.036151208,VBF_HToTauTauSkim
3,2,28,25.662077,0.47630414,-0.04518542,0.10565837,0.084661804,1,62.05590102467115,40.416855,-0.64166534,-2.5585518,0.13957,0.035604954,-1,12.453466603251808,0,77.38438,-2.590737,0.8023681,15.376289,-1.0,49.34704,-0.6343914,-2.5261357,6.292796,0.30729625,46.634144,-2.2707076,72.040436,24.774153,188.95134,30.316881,-1.9563457,True,1,0.036151208,VBF_HToTauTauSkim
4,3,14,50.221825,-0.087503195,2.7937205,0.10565837,0.038435675,1,37.60276642327155,72.59644,0.19838719,-2.362863,0.8699457,0.022431044,-1,39.924304650672035,1,149.34183,2.1535423,0.24869004,20.610355,0.82014626,70.73752,0.19556223,-2.3538556,4.8267403,-1.0,80.79855,-2.8902416,66.780594,104.52755,308.50482,95.78436,1.95798,True,1,0.036151208,VBF_HToTauTauSkim
5,1,21,18.46208,-0.6135378,-2.0686908,0.10565837,0.1890239,-1,5.264416990739351,77.87625,0.062092584,0.5532768,1.4544607,0.007564665,1,78.24184599627561,10,71.5201,0.07227227,0.5417182,6.8201017,0.8674595,-999.0,-999.0,-999.0,-999.0,-999.0,22.93667,-1.8121619,77.81962,62.526764,-999.0,-999.0,-999.0,True,1,0.036151208,VBF_HToTauTauSkim
6,2,12,25.967175,-1.818643,-2.40364,0.10565837,0.023104876,1,39.480731125568106,65.27214,-1.3830793,1.5304539,1.0338455,0.0,-1,44.98334277634511,10,65.26783,-1.3797982,1.552969,6.227301,0.12154145,59.572884,0.026514359,-1.2996817,5.2809596,-10.0,36.522423,2.4879253,78.09086,50.545383,156.27522,18.836021,-1.4063126,True,1,0.036151208,VBF_HToTauTauSkim
7,3,8,18.874119,0.4434032,0.89463437,0.10565837,0.0,-1,2.131764323252147,29.759554,-0.85304904,-2.494115,0.13957,0.0,1,64.95547427169159,0,52.208263,-2.3557453,1.0192789,11.670693,0.17196575,41.782043,-0.86423856,-2.5797606,5.7360034,0.1648053,36.417816,0.97596806,57.416103,12.354342,120.21901,23.606548,-1.4915068,True,1,0.036151208,VBF_HToTauTauSkim
8,3,17,36.889706,-0.66362035,-1.3408004,0.10565837,0.0,1,27.523000585939887,38.83607,0.26643047,-0.19366036,0.72427106,0.028267954,-1,36.78239329028261,1,98.21555,-0.7638643,2.3786573,13.31645,0.045852486,44.30739,3.2829115,1.8163838,8.22059,-10.0,85.161835,-0.84468377,54.951824,63.61608,492.70523,137.74203,-4.046776,True,1,0.036151208,VBF_HToTauTauSkim
9,2,19,71.11693,0.56844455,0.631748,0.10565837,0.007980904,-1,43.22601232335238,53.772724,0.62879205,-1.571891,0.6737294,0.023744,1,35.526779802695366,1,71.11311,0.6698275,-1.5918512,10.968125,0.35958895,48.58336,-1.8430731,3.0854175,10.244219,-1.0,22.681795,-0.504694,110.393814,58.52877,208.94414,84.70415,2.5129006,True,1,0.036151208,VBF_HToTauTauSkim
